Num_Stacked_Data,unpen_beta,CV_beta,unpen_gamma,CV_gamma,unpen_pred_RMSE,cv_pred_RMSE,unpen_pred_MAE,cv_pred_MAE,unpen_pred_Spearman,cv_pred_Spearman,unpen_Correct_pred,cv_Correct_pred,unpen_wrong_pred,cv_wrong_pred,unpen_team_size_RMSE,cv_team_size_RMSE,unpen_team_size_MAE,cv_team_size_MAE,unpen_team_size_Spearman,cv_team_size_Spearman,unpen_team_size_correct_pred,cv_team_size_correct_pred,unpen_team_size_wrong_pred,cv_team_size_wrong_pred,unpen_combine_RMSE,cv_combine_RMSE,unpen_combine_MAE,cv_combine_MAE,unpen_combine_Spearman,cv_combine_Spearman,unpen_combine_correct_pred,cv_combine_correct_pred,unpen_combine_incorrect_pred,cv_combine_incorrect_pred,unpen_RMSE_between_alpha,cv_RMSE_between_alpha,unpen_MAE_between_alpha,cv_MAE_between_alpha,unpen_Opt_lik_est,cv_Opt_lik_est
1,0.37461586052130597,-0.2880491170268797,-0.37686390383496593,0.32450034122968724,1.28879212,1.28642232,0.924,0.9235,0.9585996399999999,0.9585291199999999,0.38575,0.38425,0.61425,0.61575,1.4478622,1.4478622,1.0595,1.0595,0.9480586400000001,0.9480586400000001,0.3475,0.3475,0.6525,0.6525,1.362056,1.3491544,0.978,0.9685,0.9538028000000001,0.9546612,0.3795,0.3815,0.6205,0.6185,13.117952440000002,2.26499388,10.5032496,1.8435044400000002,35.452228840000004,39.089382920000006
2,-0.8423721108808663,-1.0148672322842962,0.8872123739983588,1.0565080794691384,1.07832892,1.0758901199999997,0.749,0.746,0.97097628,0.9710584800000001,0.45,0.451,0.55,0.549,1.20429212,1.20429212,0.859,0.859,0.96352912,0.96352912,0.402,0.402,0.598,0.598,1.0977212,1.0902775999999998,0.7535,0.746,0.9695092,0.9699192,0.46075,0.46475,0.53925,0.53525,3.4457022399999997,0.86887532,2.65724064,0.7105712000000001,84.98440167999999,88.28827156
3,-1.0569521987827892,-1.1586716490636062,1.0677764020637086,1.1673304227679924,0.94107896,0.9388846799999999,0.6355,0.6325,0.9781054399999999,0.9781761200000001,0.49675,0.49975,0.50325,0.50025,1.0710016,1.0710016,0.753,0.753,0.97124676,0.97124676,0.44175,0.44175,0.55825,0.55825,0.9581084,0.9565455999999999,0.653,0.65,0.9770268,0.9771096,0.486,0.4885,0.514,0.5115,1.4381492,0.66491892,1.10561716,0.5318927200000001,132.30135927999999,135.56630168
4,-1.1071242590871924,-1.178052138774773,1.120764622307683,1.1871985493985227,0.8711812400000001,0.8717093200000001,0.5765,0.5765,0.98103552,0.98103528,0.5285,0.52875,0.4715,0.47125,0.98060676,0.98060676,0.672,0.672,0.9760935999999999,0.9760935999999999,0.47675,0.47675,0.52325,0.52325,0.8539951999999998,0.8530187999999999,0.5575,0.5575,0.981712,0.981758,0.54025,0.53925,0.45975,0.46075,0.7984095999999999,0.5317028800000001,0.6206378400000001,0.42581783999999995,179.94851803999998,183.19519172
5,-1.1352037953786345,-1.191178364263265,1.1531262518531353,1.2055566523400452,0.83079048,0.83445356,0.538,0.542,0.98252936,0.9823647200000001,0.5565,0.55375,0.4435,0.44625,0.9285178000000001,0.9285178000000001,0.62,0.62,0.97857592,0.97857592,0.50925,0.50925,0.49075,0.49075,0.8245719999999999,0.8237591999999999,0.532,0.5305,0.9829084,0.9829323999999999,0.55825,0.56,0.44175,0.44,0.50906344,0.39544455999999994,0.41031384000000004,0.31957988,226.0402446,229.34646592
6,-1.1501673875800074,-1.1962057388512672,1.143880137500737,1.186764206567886,0.79676852,0.794633,0.5085,0.5075,0.9840592800000001,0.98414152,0.57225,0.5725,0.42775,0.4275,0.89764228,0.89764228,0.5965,0.5965,0.97976504,0.97976504,0.521,0.521,0.479,0.479,0.7948404,0.7945371999999999,0.506,0.506,0.9841219999999999,0.9841096,0.573,0.57375,0.427,0.42625,0.41265559999999996,0.3444036,0.33236220000000005,0.27973648,273.40181404,276.74925616
7,-1.1917393678667947,-1.2309558741656428,1.199699795616288,1.23642348546448,0.75595396,0.75655052,0.4685,0.47,0.98540052,0.9853888399999999,0.604,0.60225,0.396,0.39775,0.8567358800000001,0.8567358800000001,0.565,0.565,0.9814470799999999,0.9814470799999999,0.538,0.538,0.462,0.462,0.7538412000000001,0.7548855999999999,0.4665,0.468,0.985452,0.9854056000000001,0.60475,0.6035,0.39525,0.3965,0.41289396,0.33778256,0.33344092000000003,0.2725284,318.00300599999997,321.40774272
8,-1.1841791175505645,-1.2185442657667815,1.1936592623634679,1.2251046990230083,0.72993176,0.73024892,0.443,0.4445,0.9865534799999999,0.98651832,0.61975,0.618,0.38025,0.382,0.8349324800000001,0.8349324800000001,0.534,0.534,0.98238852,0.98238852,0.56375,0.56375,0.43625,0.43625,0.7323183999999999,0.7325856,0.445,0.446,0.9862883999999998,0.9862535999999998,0.621,0.62025,0.379,0.37975,0.32402391999999997,0.28386088,0.2628324,0.23055168,365.73751844000003,369.18619136
9,-1.1943690062878645,-1.223214443728636,1.2078844252322762,1.2341931045842212,0.72379744,0.7211013199999999,0.4445,0.442,0.98683576,0.9869417199999999,0.6125,0.614,0.3875,0.386,0.80647968,0.80647968,0.514,0.514,0.98364724,0.98364724,0.573,0.573,0.427,0.427,0.7173240000000001,0.7144156,0.4375,0.4345,0.9870039999999999,0.9871215999999999,0.61875,0.62075,0.38125,0.37925,0.29826208000000004,0.26559896,0.24039243999999999,0.2147706,413.35932592000006,416.65148732000006
10,-1.1995799217690382,-1.226389944831205,1.1910329918404476,1.2158353335790992,0.69714792,0.69888468,0.409,0.411,0.987789,0.9877302400000001,0.64475,0.643,0.35525,0.357,0.7866983200000001,0.7866983200000001,0.506,0.506,0.98437672,0.98437672,0.57,0.57,0.43,0.43,0.6914880000000001,0.6897724000000001,0.4085,0.407,0.9878648000000001,0.9879119999999999,0.64325,0.6445,0.35675,0.3555,0.27744072,0.25207396,0.22372152,0.20290339999999998,460.26818712,463.7014978
11,-1.196575843516206,-1.2207990501230943,1.2065564585447617,1.2285267157576645,0.6938023600000002,0.69361436,0.4105,0.411,0.9876472799999999,0.98765916,0.6455,0.6445,0.3545,0.3555,0.76450928,0.76450928,0.4785,0.4785,0.9852827599999999,0.9852827599999999,0.59375,0.59375,0.40625,0.40625,0.6782152,0.6770524,0.395,0.395,0.9882519999999999,0.9882632,0.65575,0.6555,0.34425,0.3445,0.27466820000000003,0.24682864,0.22339708,0.20096440000000002,505.48113576,508.87448176
12,-1.219153766381894,-1.24091193376943,1.2402445664852553,1.2598637064462523,0.6665858400000001,0.66801796,0.3915,0.3915,0.98857716,0.98853012,0.6555,0.6565,0.3445,0.3435,0.74020892,0.74020892,0.4605,0.4605,0.98615304,0.98615304,0.6025,0.6025,0.3975,0.3975,0.6553908,0.6526279999999999,0.38,0.3785,0.9890395999999999,0.989098,0.66275,0.66375,0.33725,0.33625,0.25150984,0.23078523999999997,0.20268772000000002,0.18738955999999998,551.72302816,555.09384852
