Num_Stacked_Data,unpen_beta,CV_beta,unpen_gamma,CV_gamma,unpen_pred_RMSE,cv_pred_RMSE,unpen_pred_MAE,cv_pred_MAE,unpen_pred_Spearman,cv_pred_Spearman,unpen_Correct_pred,cv_Correct_pred,unpen_wrong_pred,cv_wrong_pred,unpen_team_size_RMSE,cv_team_size_RMSE,unpen_team_size_MAE,cv_team_size_MAE,unpen_team_size_Spearman,cv_team_size_Spearman,unpen_team_size_correct_pred,cv_team_size_correct_pred,unpen_team_size_wrong_pred,cv_team_size_wrong_pred,unpen_combine_RMSE,cv_combine_RMSE,unpen_combine_MAE,cv_combine_MAE,unpen_combine_Spearman,cv_combine_Spearman,unpen_combine_correct_pred,cv_combine_correct_pred,unpen_combine_incorrect_pred,cv_combine_incorrect_pred,unpen_RMSE_between_alpha,cv_RMSE_between_alpha,unpen_MAE_between_alpha,cv_MAE_between_alpha,unpen_Opt_lik_est,cv_Opt_lik_est
1,0.3256545732342376,-0.3153218271370662,1.0,1.0,1.34412536,1.32309168,0.9765,0.9555,0.95499972,0.9563174799999999,0.36075,0.3705,0.63925,0.6295,1.51362252,1.51362252,1.1155,1.1155,0.9432824,0.9432824,0.32975,0.32975,0.67025,0.67025,1.4209171999999999,1.4068888,1.033,1.019,0.9498344000000001,0.950824,0.3555,0.3595,0.6445,0.6405,11.9454406,1.9281708,9.43883064,1.5724368000000002,60.45529424,65.65233032
2,-0.8745012634438346,-1.0344600569249018,1.0,1.0,1.04338444,1.0457488000000004,0.7215,0.7235,0.9724235200000001,0.97222364,0.4635,0.463,0.5365,0.537,1.20801864,1.20801864,0.854,0.854,0.9637880400000001,0.9637880400000001,0.41,0.41,0.59,0.59,1.0864327999999999,1.0869659999999999,0.7455,0.748,0.9702308000000001,0.9701736,0.458,0.4555,0.542,0.5445,3.22357268,0.83042208,2.4124576,0.66726184,138.65183224,143.1841784
3,-1.0347664008643647,-1.1277623897383078,1.0,1.0,0.9494526000000001,0.94960512,0.6375,0.6385,0.9774122,0.9774004,0.5035,0.50225,0.4965,0.49775,1.105211,1.105211,0.758,0.758,0.96941152,0.96941152,0.45625,0.45625,0.54375,0.54375,0.9668104,0.9633544,0.6425,0.6385,0.9764372,0.9765423999999999,0.5115,0.51475,0.4885,0.48525,1.2785788000000002,0.6611589999999999,1.00240924,0.53166524,214.13645012,218.59929936
4,-1.11655822093787,-1.1799793422487264,1.0,1.0,0.87528396,0.8798705200000001,0.576,0.5805,0.9807762400000001,0.9805644,0.53375,0.531,0.46625,0.469,0.9702801999999999,0.9702801999999999,0.656,0.656,0.97608224,0.97608224,0.49825,0.49825,0.50175,0.50175,0.8641923999999999,0.8647772,0.5565,0.556,0.980972,0.9809599999999999,0.5545,0.5555,0.4455,0.4445,0.81139344,0.53453964,0.6402740800000001,0.42711543999999996,286.38749412000004,290.71108991999995
5,-1.141783959274922,-1.192326106065817,1.0,1.0,0.8228544000000001,0.82211032,0.533,0.5315,0.9830354400000001,0.983106,0.55575,0.55675,0.44425,0.44325,0.93753584,0.93753584,0.6345,0.6345,0.97775296,0.97775296,0.50225,0.50225,0.49775,0.49775,0.8144788,0.813208,0.5285,0.527,0.9831203999999999,0.9831675999999999,0.559,0.56025,0.441,0.43975,0.482562,0.3764984400000001,0.38816875999999995,0.30325444,362.87115328,367.31397251999994
6,-1.1674907682409108,-1.2086657276515278,1.0,1.0,0.7906784399999999,0.7861412,0.499,0.496,0.9842001599999999,0.98435308,0.5825,0.58375,0.4175,0.41625,0.8993358800000001,0.8993358800000001,0.596,0.596,0.97976476,0.97976476,0.52425,0.52425,0.47575,0.47575,0.7826652,0.779208,0.491,0.489,0.9844527999999999,0.9845712,0.588,0.5885,0.412,0.4115,0.43352372,0.35578255999999997,0.34852560000000005,0.28724244,437.22502228,441.70924400000007
7,-1.1846157101697137,-1.2195039419942624,1.0,1.0,0.7609194000000001,0.76081052,0.478,0.4765,0.9854118000000001,0.9853883600000001,0.59075,0.59325,0.40925,0.40675,0.8618922,0.8618922,0.5735,0.5735,0.9815412399999999,0.9815412399999999,0.5255,0.5255,0.4745,0.4745,0.7539167999999999,0.7536423999999999,0.47,0.4695,0.9857324,0.9857328,0.59525,0.59575,0.40475,0.40425,0.38388284,0.32139532000000004,0.30898812,0.25836324,511.01618732,515.5216913600001
8,-1.2050053213116718,-1.2338404770689604,1.0,1.0,0.72305704,0.7229848799999999,0.446,0.4445,0.98670648,0.9867064400000001,0.61175,0.614,0.38825,0.386,0.8120348000000001,0.8120348000000001,0.525,0.525,0.9831764000000001,0.9831764000000001,0.5645,0.5645,0.4355,0.4355,0.701078,0.7008232000000001,0.4255,0.4245,0.9873928,0.9874043999999998,0.6275,0.62875,0.3725,0.37125,0.31181859999999995,0.28039716,0.25364852000000004,0.22799356,585.6328696400001,589.93780184
9,-1.195475630265012,-1.2221303748709162,1.0,1.0,0.71167428,0.71415224,0.431,0.4335,0.98707132,0.9870007599999999,0.6265,0.62425,0.3735,0.37575,0.80068308,0.80068308,0.514,0.514,0.9838239999999999,0.9838239999999999,0.56875,0.56875,0.43125,0.43125,0.7079768,0.7070984000000001,0.428,0.427,0.9872384,0.9872731999999999,0.62675,0.6275,0.37325,0.3725,0.30034692,0.26479476,0.24226100000000003,0.21331883999999998,658.1541354799999,662.6468576
10,-1.1950833526346805,-1.2174774548538474,1.0,1.0,0.69359644,0.69712752,0.4175,0.42,0.9876245199999999,0.9875303999999999,0.636,0.63425,0.364,0.36575,0.78023308,0.78023308,0.4915,0.4915,0.9845412,0.9845412,0.5865,0.5865,0.4135,0.4135,0.6827988,0.6811568,0.403,0.4005,0.9880852,0.9881448,0.648,0.6505,0.352,0.3495,0.26842412000000004,0.24193124,0.21764812,0.19633404000000002,735.3386935999999,739.60693524
