Num_Stacked_Data,unpen_beta,CV_beta,unpen_gamma,CV_gamma,unpen_pred_RMSE,cv_pred_RMSE,unpen_pred_MAE,cv_pred_MAE,unpen_pred_Spearman,cv_pred_Spearman,unpen_Correct_pred,cv_Correct_pred,unpen_wrong_pred,cv_wrong_pred,unpen_team_size_RMSE,cv_team_size_RMSE,unpen_team_size_MAE,cv_team_size_MAE,unpen_team_size_Spearman,cv_team_size_Spearman,unpen_team_size_correct_pred,cv_team_size_correct_pred,unpen_team_size_wrong_pred,cv_team_size_wrong_pred,unpen_combine_RMSE,cv_combine_RMSE,unpen_combine_MAE,cv_combine_MAE,unpen_combine_Spearman,cv_combine_Spearman,unpen_combine_correct_pred,cv_combine_correct_pred,unpen_combine_incorrect_pred,cv_combine_incorrect_pred,unpen_RMSE_between_alpha,cv_RMSE_between_alpha,unpen_MAE_between_alpha,cv_MAE_between_alpha,unpen_Opt_lik_est,cv_Opt_lik_est
1,1.0,1.0,-4.6996220866772145,1.0417935030274084,4.9617816,5.1128369199999995,3.955,4.0925,0.40025868,0.36592939999999996,0.09925,0.09525,0.90075,0.90475,4.9734548,4.9734548,3.9835,3.9835,0.39929424,0.39929424,0.09825,0.09825,0.90175,0.90175,4.9667824000000005,4.9636844,3.973,3.9615,0.4004568,0.4007772,0.09675,0.1,0.90325,0.9,38.23890048,0.58593812,30.45721,0.48815372,20.19957472,32.712095
2,1.0,1.0,1.03112953704876,1.261522568664738,4.54662788,4.689372,3.636,3.7465,0.497506,0.46569436000000003,0.097,0.098,0.903,0.902,4.451030479999999,4.451030479999999,3.542,3.542,0.5174708,0.5174708,0.10325,0.10325,0.89675,0.89675,4.4027708,4.443002,3.5125,3.545,0.5287200000000001,0.5204947999999999,0.1095,0.10825,0.8905,0.89175,2.1699282400000004,0.30938576,1.3195339199999998,0.25647652000000004,63.240454559999996,70.96719787999999
3,1.0,1.0,1.1786737264744216,1.2886394185779975,4.16373516,4.27922372,3.2895,3.3865,0.5760468000000001,0.55260012,0.12175,0.1155,0.87825,0.8845,4.04120136,4.04120136,3.1855,3.1855,0.5978823600000001,0.5978823600000001,0.11875,0.11875,0.88125,0.88125,3.9569715999999997,3.9781956,3.1115,3.123,0.614692,0.6104015999999999,0.12025,0.1265,0.87975,0.8735,0.8223526000000001,0.26469156,0.5785094399999999,0.21839556,100.58552068,107.56056576
4,1.0,1.0,1.1868139372704105,1.2591332249270593,4.05252328,4.120995079999999,3.1805,3.23,0.5959059600000001,0.5834704,0.116,0.12125,0.884,0.87875,3.9520797999999995,3.9520797999999995,3.069,3.069,0.6171528399999999,0.6171528399999999,0.133,0.133,0.867,0.867,3.8678779999999997,3.875156,3.0165,3.024,0.6309292000000001,0.6296811999999999,0.13225,0.13425,0.86775,0.86575,0.5245804000000001,0.2518858,0.398229,0.20511256,138.37276044,144.96298416
5,1.0,1.0,1.2137013821982248,1.2638654766023099,3.8100679600000005,3.85965936,3.0,3.0365,0.6432236,0.63478812,0.1305,0.12575,0.8695,0.87425,3.6565585600000006,3.6565585600000006,2.8855,2.8855,0.67190568,0.67190568,0.132,0.132,0.868,0.868,3.568294,3.5823512,2.816,2.83,0.6877068,0.6858228000000001,0.1365,0.1355,0.8635,0.8645,0.3838744,0.23177308,0.30744936,0.19017676,176.07748375999998,182.21148152
6,1.0,1.0,1.1798969076638561,1.2268136021656952,3.5705550400000003,3.60642452,2.8035,2.828,0.68648232,0.6799882799999999,0.13225,0.13975,0.86775,0.86025,3.4153302400000003,3.4153302400000003,2.673,2.673,0.7122704,0.7122704,0.154,0.154,0.846,0.846,3.3306747999999997,3.3263651999999997,2.601,2.6025,0.7265072,0.727,0.15425,0.154,0.84575,0.846,0.35018412,0.21914748,0.2802572,0.1786382,212.76360472,219.05885139999998
7,1.0,1.0,1.2144688955273086,1.2529645088729344,3.451817,3.48786352,2.6875,2.723,0.70591744,0.69959992,0.14475,0.14025,0.85525,0.85975,3.4038107600000003,3.4038107600000003,2.6465,2.6465,0.71543524,0.71543524,0.1505,0.1505,0.8495,0.8495,3.267866,3.267166,2.5255,2.524,0.7367156,0.7366464,0.15825,0.15875,0.84175,0.84125,0.31530604000000007,0.20956603999999998,0.25348344,0.17091847999999998,249.38967596000003,255.48388688
8,1.0,1.0,1.2165442831414008,1.2497344175501366,3.2307059600000003,3.2611391600000004,2.5055,2.533,0.74089428,0.7361178400000001,0.16125,0.15925,0.83875,0.84075,3.0868371999999997,3.0868371999999997,2.4165,2.4165,0.76461164,0.76461164,0.15125,0.15125,0.84875,0.84875,2.9768448,2.9660739999999994,2.3185,2.3165,0.7796692000000001,0.7812347999999999,0.165,0.164,0.835,0.836,0.292773,0.20088076000000002,0.23412703999999998,0.16284488000000003,286.08002248,292.15638679999995
9,1.0,1.0,1.2300406611728327,1.2572943625581892,3.18094888,3.21366532,2.4735,2.5055,0.7501649199999999,0.7449413199999999,0.153,0.1495,0.847,0.8505,3.07347084,3.07347084,2.379,2.379,0.767694,0.767694,0.16575,0.16575,0.83425,0.83425,2.9549996000000003,2.9567243999999997,2.281,2.2855,0.7850835999999999,0.7848959999999999,0.16825,0.166,0.83175,0.834,0.27239724,0.19519343999999997,0.22020772,0.15905748,322.52713116,328.50968196
10,1.0,1.0,1.233683112030311,1.258980834349566,3.0765756,3.1085658,2.3845,2.4095,0.7674941599999999,0.76267076,0.1625,0.1605,0.8375,0.8395,2.92737212,2.92737212,2.2805,2.2805,0.78841184,0.78841184,0.16675,0.16675,0.83325,0.83325,2.8452707999999998,2.8436511999999996,2.191,2.194,0.8008944,0.801164,0.186,0.182,0.814,0.818,0.25638444000000005,0.18801288,0.20592804,0.15285543999999998,359.01077884,365.00482432
