Num_Stacked_Data,unpen_beta,CV_beta,unpen_gamma,CV_gamma,unpen_pred_RMSE,cv_pred_RMSE,unpen_pred_MAE,cv_pred_MAE,unpen_pred_Spearman,cv_pred_Spearman,unpen_Correct_pred,cv_Correct_pred,unpen_wrong_pred,cv_wrong_pred,unpen_team_size_RMSE,cv_team_size_RMSE,unpen_team_size_MAE,cv_team_size_MAE,unpen_team_size_Spearman,cv_team_size_Spearman,unpen_team_size_correct_pred,cv_team_size_correct_pred,unpen_team_size_wrong_pred,cv_team_size_wrong_pred,unpen_combine_RMSE,cv_combine_RMSE,unpen_combine_MAE,cv_combine_MAE,unpen_combine_Spearman,cv_combine_Spearman,unpen_combine_correct_pred,cv_combine_correct_pred,unpen_combine_incorrect_pred,cv_combine_incorrect_pred,unpen_RMSE_between_alpha,cv_RMSE_between_alpha,unpen_MAE_between_alpha,cv_MAE_between_alpha,unpen_Opt_lik_est,cv_Opt_lik_est
1,1.7090660211596747,1.13202644340214,-0.4667250958951875,0.11362405537964278,3.24532192,3.17113308,2.473,2.4145,0.7406235999999999,0.75184732,0.1815,0.185,0.8185,0.815,3.64253036,3.64253036,2.814,2.814,0.6759410399999999,0.6759410399999999,0.155,0.155,0.845,0.845,3.4416995999999997,3.3955224000000004,2.6385,2.5965,0.7098720000000001,0.7174712,0.172,0.178,0.828,0.822,4.37493936,1.67896508,2.6761271200000003,1.3441486399999998,62.78896108,65.95582964
2,0.3568400219113829,0.17024584682789617,0.9713096561687236,1.126701505313495,2.5121944000000003,2.4701277600000004,1.8855,1.854,0.84435284,0.8491295999999999,0.22,0.22075,0.78,0.77925,3.0882394000000004,3.0882394000000004,2.3435,2.3435,0.7653763200000001,0.7653763200000001,0.185,0.185,0.815,0.815,2.7770611999999995,2.7529312,2.096,2.0735,0.8104012,0.8138024,0.2035,0.20775,0.7965,0.79225,1.6359883599999998,1.5685266000000002,1.25003396,1.3009040399999998,143.92335568000001,147.27006255999999
3,0.1136570092005073,0.011070183403679674,1.251539520935807,1.3288526292891127,2.1337694000000003,2.10917216,1.5885,1.57,0.8872234,0.8899882800000001,0.26375,0.265,0.73625,0.735,2.68851132,2.68851132,2.021,2.021,0.8217412,0.8217412,0.21775,0.21775,0.78225,0.78225,2.3598504,2.3446000000000002,1.7505,1.739,0.86214,0.8641255999999999,0.25925,0.26175,0.74075,0.73825,1.4826011200000002,1.5321648799999998,1.23469484,1.3098017199999998,220.12530068,223.3377842
4,0.03688240759932321,-0.03152910967755176,1.2987730309823171,1.3459765378302841,1.88982576,1.8763737600000001,1.411,1.4025,0.91057636,0.91181172,0.28025,0.28125,0.71975,0.71875,2.43173248,2.43173248,1.837,1.837,0.85271776,0.85271776,0.217,0.217,0.783,0.783,2.1089688,2.1059312,1.554,1.5545,0.8881787999999999,0.8886256000000001,0.284,0.279,0.716,0.721,1.4062363199999999,1.48705208,1.22818172,1.3013912,298.07077760000004,301.18926644
5,-0.00025429826831465595,-0.05661676491485548,1.3367658253004753,1.3745258220813417,1.7761883600000001,1.76796164,1.2925,1.2885,0.92203504,0.92276432,0.313,0.31125,0.687,0.68875,2.3262760000000005,2.3262760000000005,1.7305,1.7305,0.86649412,0.86649412,0.23075,0.23075,0.76925,0.76925,2.016598,2.0078031999999997,1.456,1.4515,0.8996803999999999,0.9005863999999999,0.3035,0.3025,0.6965,0.6975,1.43882888,1.4993671599999998,1.2518638000000002,1.30917032,374.19262136,377.45861828
6,-0.0327791642519379,-0.07770481333811229,1.3743123512182402,1.4029074671266422,1.6651580000000001,1.6574635200000003,1.213,1.2075,0.9304117599999999,0.9310474400000001,0.321,0.32375,0.679,0.67625,2.14490224,2.14490224,1.5925,1.5925,0.8868118400000001,0.8868118400000001,0.254,0.254,0.746,0.746,1.8880852,1.8835576,1.371,1.3665,0.9114928,0.9119267999999999,0.31225,0.313,0.68775,0.687,1.4348966,1.49351912,1.25904512,1.3098881999999998,450.9025388,454.09974991999997
7,-0.04212867422640981,-0.08015301120803094,1.3872025196403752,1.4118289146217162,1.57610952,1.57021336,1.149,1.1445,0.9380469599999999,0.9384822399999999,0.3345,0.335,0.6655,0.665,2.05857324,2.05857324,1.5485,1.5485,0.89520008,0.89520008,0.25175,0.25175,0.74825,0.74825,1.7729291999999999,1.7664275999999999,1.298,1.294,0.9217308000000001,0.9223192,0.31325,0.3135,0.68675,0.6865,1.44813824,1.48710024,1.2652470800000002,1.30441576,525.0622225999999,528.26334728
8,-0.06532509090215208,-0.09649071892159103,1.386856543861367,1.4065909345102745,1.48506032,1.48279232,1.064,1.0615,0.94470588,0.94494116,0.36425,0.3645,0.63575,0.6355,1.9392226399999999,1.9392226399999999,1.4205,1.4205,0.90676468,0.90676468,0.29125,0.29125,0.70875,0.70875,1.68712,1.6833451999999998,1.205,1.203,0.9289644,0.9293896,0.34375,0.34275,0.65625,0.65725,1.44469884,1.48807892,1.2771751600000003,1.31399228,602.85082552,605.9196311200001
9,-0.07644787666182623,-0.10427234636465717,1.4183344074233746,1.4357837563746148,1.43742496,1.4358416,1.0425,1.041,0.94841156,0.9484821999999999,0.355,0.356,0.645,0.644,1.82266468,1.82266468,1.349,1.349,0.9173171999999999,0.9173171999999999,0.2915,0.2915,0.7085,0.7085,1.599316,1.5968388,1.149,1.1465,0.9362588000000001,0.9363884,0.35025,0.35125,0.64975,0.64875,1.4372681999999999,1.47675892,1.269674,1.3029902000000002,676.6694509999999,679.7607509600001
10,-0.0875761394275254,-0.11343664212155781,1.4160074085533993,1.4321843048171459,1.42122344,1.41534436,1.0185,1.0155,0.94961168,0.94997648,0.36475,0.365,0.63525,0.635,1.8383014,1.8383014,1.3655,1.3655,0.9165056400000001,0.9165056400000001,0.286,0.286,0.714,0.714,1.5968596,1.5930204000000001,1.142,1.1395,0.9366116,0.9369156000000001,0.3515,0.3515,0.6485,0.6485,1.44918932,1.48653856,1.2811773999999998,1.31264652,753.55071244,756.8267563999999
11,-0.07777848479271027,-0.10010626243339374,1.405785521232397,1.419713148788294,1.34338244,1.33858392,0.956,0.951,0.95463516,0.95494104,0.3845,0.3865,0.6155,0.6135,1.7250297600000002,1.7250297600000002,1.2855,1.2855,0.9259295200000001,0.9259295200000001,0.2945,0.2945,0.7055,0.7055,1.4977411999999999,1.4939219999999998,1.0705,1.0665,0.9438248,0.9440956000000001,0.36925,0.37125,0.63075,0.62875,1.4489062400000001,1.48111948,1.2810297599999998,1.3079520000000002,830.7097525600001,833.7573429999999
12,-0.09288420126697784,-0.1138108946194903,1.4044502332116608,1.41711717523426,1.3205764,1.3200766399999997,0.936,0.936,0.95618804,0.95618812,0.39425,0.3945,0.60575,0.6055,1.71426252,1.71426252,1.2515,1.2515,0.926635,0.926635,0.31425,0.31425,0.68575,0.68575,1.4706544,1.4698424,1.0295,1.031,0.945648,0.9456708000000001,0.3885,0.38625,0.6115,0.61375,1.44574804,1.47653952,1.2808063600000001,1.30650032,905.58555304,908.7755047599999
