Num_Stacked_Data,unpen_beta,CV_beta,unpen_gamma,CV_gamma,unpen_pred_RMSE,cv_pred_RMSE,unpen_pred_MAE,cv_pred_MAE,unpen_pred_Spearman,cv_pred_Spearman,unpen_Correct_pred,cv_Correct_pred,unpen_wrong_pred,cv_wrong_pred,unpen_team_size_RMSE,cv_team_size_RMSE,unpen_team_size_MAE,cv_team_size_MAE,unpen_team_size_Spearman,cv_team_size_Spearman,unpen_team_size_correct_pred,cv_team_size_correct_pred,unpen_team_size_wrong_pred,cv_team_size_wrong_pred,unpen_combine_RMSE,cv_combine_RMSE,unpen_combine_MAE,cv_combine_MAE,unpen_combine_Spearman,cv_combine_Spearman,unpen_combine_correct_pred,cv_combine_correct_pred,unpen_combine_incorrect_pred,cv_combine_incorrect_pred,unpen_RMSE_between_alpha,cv_RMSE_between_alpha,unpen_MAE_between_alpha,cv_MAE_between_alpha,unpen_Opt_lik_est,cv_Opt_lik_est
1,1.6604108329781588,0.8891222267805126,1.0,1.0,3.54305696,3.52765764,2.693,2.6925,0.6939526800000001,0.6969531200000001,0.16675,0.164,0.83325,0.836,3.69820812,3.69820812,2.8435,2.8435,0.66652944,0.66652944,0.15025,0.15025,0.84975,0.84975,3.6155516,3.5940116,2.7515,2.7355,0.6810696,0.6853408,0.16575,0.1685,0.83425,0.8315,3.866813,1.8553892,2.4449357999999997,1.5044587999999999,110.53360652,116.81376452
2,0.15572802786165335,-0.09057720393999653,1.0,1.0,2.9791944800000003,3.00435664,2.242,2.253,0.7807062799999999,0.7768236000000001,0.1945,0.19825,0.8055,0.80175,3.0997836000000003,3.0997836000000003,2.3715,2.3715,0.7629646800000001,0.7629646800000001,0.1735,0.1735,0.8265,0.8265,3.0221088,3.0221644,2.2825,2.282,0.7748564,0.7748236,0.1975,0.19825,0.8025,0.80175,1.91526192,1.78531016,1.4720643199999999,1.5158497199999998,247.2253604,252.76435632
3,-0.0701274588640211,-0.2113160878358626,1.0,1.0,2.59584632,2.62154808,1.931,1.947,0.8325060000000001,0.82912952,0.23125,0.23075,0.76875,0.76925,2.64252012,2.64252012,1.997,1.997,0.82752952,0.82752952,0.2095,0.2095,0.7905,0.7905,2.5696544,2.5782416,1.918,1.9185,0.8358084000000001,0.8348668,0.22825,0.23225,0.77175,0.76775,1.7071448,1.79710828,1.43871372,1.5421192000000001,377.83160596,382.96306403999995
4,-0.14910667125518937,-0.24705462511322962,1.0,1.0,2.41181124,2.4225646399999996,1.7775,1.7885,0.8560237999999999,0.85462364,0.256,0.254,0.744,0.746,2.43469452,2.43469452,1.838,1.838,0.85447064,0.85447064,0.2265,0.2265,0.7735,0.7735,2.3850908,2.3919479999999993,1.7555,1.763,0.8597892,0.8590348,0.27025,0.26925,0.72975,0.73075,1.6429068400000002,1.74673488,1.43830736,1.52666512,506.3870478,511.26681024
5,-0.16500452172299596,-0.2433689621564032,1.0,1.0,2.19585596,2.2164684400000008,1.6205,1.632,0.8806468,0.87828224,0.2635,0.267,0.7365,0.733,2.2517663199999998,2.2517663199999998,1.6815,1.6815,0.87503564,0.87503564,0.2425,0.2425,0.7575,0.7575,2.1846432,2.1905319999999997,1.603,1.606,0.8822231999999999,0.8815899999999999,0.28225,0.28375,0.71775,0.71625,1.6655481599999997,1.75288372,1.4557426,1.5290787600000002,637.9685991599999,642.8544957600001
6,-0.20375119579554826,-0.2680064747051529,1.0,1.0,2.0742059200000003,2.0813392000000004,1.5285,1.5315,0.89400004,0.89334104,0.26675,0.26625,0.73325,0.73375,2.1088620799999998,2.1088620799999998,1.586,1.586,0.89039984,0.89039984,0.25575,0.25575,0.74425,0.74425,2.0418144,2.035232,1.498,1.4925,0.8970604000000001,0.897672,0.29225,0.2925,0.70775,0.7075,1.6733815599999997,1.74908844,1.4691434399999999,1.5312918,766.96185388,771.89898732
7,-0.2036539628448811,-0.25615164804690244,1.0,1.0,1.94827368,1.9464615200000002,1.426,1.4225,0.90550604,0.90554128,0.2925,0.294,0.7075,0.706,2.0405527599999997,2.0405527599999997,1.522,1.522,0.89670584,0.89670584,0.26125,0.26125,0.73875,0.73875,1.9531963999999995,1.9493799999999997,1.4155,1.4145,0.9051532000000001,0.9055172,0.311,0.309,0.689,0.691,1.67442,1.73718472,1.47319664,1.5246313999999999,895.06208828,899.76126164
8,-0.2237068049734605,-0.26796925334745886,1.0,1.0,1.9583156800000001,1.96078648,1.434,1.437,0.9047411999999999,0.9044587199999999,0.298,0.2975,0.702,0.7025,1.9817356400000001,1.9817356400000001,1.4715,1.4715,0.90252948,0.90252948,0.277,0.277,0.723,0.723,1.9291072,1.9308547999999999,1.4025,1.403,0.907586,0.9074331999999999,0.3165,0.316,0.6835,0.684,1.6850011999999999,1.73968576,1.48617788,1.5304566,1024.44376452,1029.0886678000002
9,-0.2301875550998177,-0.2698594523732528,1.0,1.0,1.80847352,1.8065512000000004,1.315,1.3115,0.91922376,0.9193060399999999,0.3105,0.313,0.6895,0.687,1.8604526399999999,1.8604526399999999,1.372,1.372,0.91482348,0.91482348,0.29225,0.29225,0.70775,0.70775,1.7882912000000002,1.7903228,1.285,1.2845,0.9208112,0.9205644,0.3355,0.33725,0.6645,0.66275,1.68955016,1.7390500400000002,1.48807508,1.52795944,1154.6615493199997,1159.29033208
10,-0.24558179610512723,-0.28054169899086734,1.0,1.0,1.7650762400000002,1.7675741600000001,1.2905,1.291,0.92321144,0.9229643999999999,0.31075,0.3115,0.68925,0.6885,1.7848486399999999,1.7848486399999999,1.317,1.317,0.92142348,0.92142348,0.29825,0.29825,0.70175,0.70175,1.734114,1.7300812,1.246,1.242,0.9256944,0.9260128,0.34075,0.34275,0.65925,0.65725,1.6973421200000003,1.7418056,1.49532252,1.53084572,1284.77003328,1289.34844844
11,-0.24846144286226876,-0.2798090479415673,1.0,1.0,1.7575742800000003,1.7629683999999999,1.279,1.282,0.92345852,0.92297632,0.3125,0.31275,0.6875,0.68725,1.79449712,1.79449712,1.3165,1.3165,0.92029404,0.92029404,0.30525,0.30525,0.69475,0.69475,1.7433332,1.7428304000000001,1.2465,1.2455,0.9245407999999999,0.9245188000000001,0.34375,0.34525,0.65625,0.65475,1.6927982400000001,1.7328507599999998,1.49313092,1.52509688,1410.3952851200002,1414.9020973200002
12,-0.25284048691962385,-0.28320053973469816,1.0,1.0,1.6875097600000002,1.68877808,1.2185,1.2215,0.9288234,0.9286586,0.33225,0.33,0.66775,0.67,1.73702224,1.73702224,1.281,1.281,0.9246466799999999,0.9246466799999999,0.3035,0.3035,0.6965,0.6965,1.6920127999999999,1.6939715999999998,1.214,1.2155,0.9284724000000001,0.9283432,0.338,0.33875,0.662,0.66125,1.69768684,1.7366429200000002,1.49583132,1.52688732,1541.6408562,1546.37516412
