Num_Stacked_Data,unpen_beta,CV_beta,unpen_gamma,CV_gamma,unpen_pred_RMSE,cv_pred_RMSE,unpen_pred_MAE,cv_pred_MAE,unpen_pred_Spearman,cv_pred_Spearman,unpen_Correct_pred,cv_Correct_pred,unpen_wrong_pred,cv_wrong_pred,unpen_team_size_RMSE,cv_team_size_RMSE,unpen_team_size_MAE,cv_team_size_MAE,unpen_team_size_Spearman,cv_team_size_Spearman,unpen_team_size_correct_pred,cv_team_size_correct_pred,unpen_team_size_wrong_pred,cv_team_size_wrong_pred,unpen_combine_RMSE,cv_combine_RMSE,unpen_combine_MAE,cv_combine_MAE,unpen_combine_Spearman,cv_combine_Spearman,unpen_combine_correct_pred,cv_combine_correct_pred,unpen_combine_incorrect_pred,cv_combine_incorrect_pred,unpen_RMSE_between_alpha,cv_RMSE_between_alpha,unpen_MAE_between_alpha,cv_MAE_between_alpha,unpen_Opt_lik_est,cv_Opt_lik_est
1,1.0,1.0,-21.854316438201256,1.1936653809482525,2.59403496,2.5017423200000004,1.964,1.9,0.83220024,0.84529412,0.2085,0.21075,0.7915,0.78925,3.67114088,3.67114088,2.8185,2.8185,0.67036464,0.67036464,0.147,0.147,0.853,0.853,2.9688220000000003,2.8812699999999993,2.2685,2.207,0.7834668,0.7964856,0.181,0.182,0.819,0.818,132.91946952,1.42753432,110.83487636000001,1.17173188,7.03978284,17.17662532
2,1.0,1.0,1.210428801451217,1.2947997571661654,1.8577565600000003,1.7762283200000002,1.385,1.323,0.9139646800000001,0.9211292800000002,0.28125,0.28775,0.71875,0.71225,3.01426056,3.01426056,2.2635,2.2635,0.77555304,0.77555304,0.198,0.198,0.802,0.802,2.2334408000000003,2.1741356,1.6535,1.6105,0.8766468,0.8823752,0.2555,0.2645,0.7445,0.7355,31.397465599999997,1.03190848,25.90511436,0.84705268,25.93654292,35.281529479999996
3,1.0,1.0,1.4497658378054317,1.3756604495516034,1.60187916,1.57763884,1.174,1.155,0.9363174799999999,0.9382821200000001,0.31925,0.32625,0.68075,0.67375,2.67546596,2.67546596,2.0255,2.0255,0.8224589600000001,0.8224589600000001,0.1965,0.1965,0.8035,0.8035,1.9815932,1.9568264,1.473,1.4515,0.9025424000000001,0.9051440000000001,0.2765,0.2815,0.7235,0.7185,16.535276,0.86386428,12.903083160000001,0.69958064,44.04258516,53.11246648
4,1.0,1.0,1.5111505512858763,1.4453775694831656,1.39667132,1.38986184,1.0195,1.0055,0.9514351599999998,0.95183524,0.35475,0.3665,0.64525,0.6335,2.46634452,2.46634452,1.848,1.848,0.8492236000000001,0.8492236000000001,0.225,0.225,0.775,0.775,1.7853964,1.7812651999999998,1.306,1.3015,0.9206596,0.9210244,0.31675,0.31925,0.68325,0.68075,8.85428592,0.82275412,6.536373719999999,0.66513788,62.69947024,71.33027084000001
5,1.0,1.0,1.468480783680996,1.4013039852271516,1.2997753600000002,1.2959448400000002,0.932,0.9285,0.9580117200000001,0.958247,0.38725,0.39,0.61275,0.61,2.24961508,2.24961508,1.67,1.67,0.87399984,0.87399984,0.25075,0.25075,0.74925,0.74925,1.6278408,1.6266168,1.1815,1.1815,0.934024,0.9340612,0.335,0.33375,0.665,0.66625,4.6173300799999994,0.6301068799999999,2.9606160800000003,0.51053032,81.02924076000001,90.0350966
6,1.0,1.0,1.486968818432927,1.4241315435964517,1.2215506,1.2224764399999999,0.8625,0.8645,0.9630942,0.96307052,0.4105,0.40575,0.5895,0.59425,2.1758656400000005,2.1758656400000005,1.635,1.635,0.88332932,0.88332932,0.24725,0.24725,0.75275,0.75275,1.5537804,1.5505212,1.121,1.1195,0.9403516,0.9406452,0.3535,0.356,0.6465,0.644,3.2892175999999997,0.5722770399999999,2.03723656,0.46150604,98.44078284,107.52244340000001
7,1.0,1.0,1.5239988255233654,1.4689419391423766,1.1684732,1.1646128800000002,0.835,0.8285,0.96608204,0.9663410399999999,0.404,0.40975,0.596,0.59025,2.03259756,2.03259756,1.5295,1.5295,0.8982586,0.8982586,0.24925,0.24925,0.75075,0.75075,1.481496,1.474826,1.064,1.058,0.945366,0.9459424000000001,0.36575,0.367,0.63425,0.633,2.43216988,0.56310412,1.52367416,0.45198828,116.76906204,125.82077688000001
8,1.0,1.0,1.4563917194384435,1.4162668862478116,1.08826292,1.08828128,0.764,0.763,0.9703293599999999,0.97035268,0.43675,0.43775,0.56325,0.56225,1.86135368,1.86135368,1.388,1.388,0.9137411999999999,0.9137411999999999,0.28,0.28,0.72,0.72,1.3602383999999996,1.3524232,0.966,0.964,0.953046,0.9536359999999999,0.3895,0.38675,0.6105,0.61325,1.8936330000000001,0.51005868,1.15559656,0.41254224,135.838145,144.71215248
9,1.0,1.0,1.4752594633513336,1.4320201068636753,1.04578712,1.04328672,0.7225,0.7205,0.9725061599999999,0.9726589999999999,0.4615,0.46175,0.5385,0.53825,1.87267432,1.87267432,1.396,1.396,0.91270588,0.91270588,0.27925,0.27925,0.72075,0.72075,1.3430996,1.3458283999999998,0.9505,0.95,0.9549659999999999,0.954894,0.398,0.399,0.602,0.601,1.43380504,0.48540468000000003,0.87237008,0.38724220000000004,154.71135796,163.54364532000002
10,1.0,1.0,1.5254374427408215,1.483413970981947,1.0137243599999999,1.01275808,0.6885,0.689,0.9741882000000001,0.9742586400000001,0.48025,0.47825,0.51975,0.52175,1.7793020000000002,1.7793020000000002,1.3255,1.3255,0.92204732,0.92204732,0.28275,0.28275,0.71725,0.71725,1.2734928,1.2726236,0.895,0.8935,0.9595556000000001,0.9596,0.41125,0.41175,0.58875,0.58825,1.1937713600000002,0.45383228,0.7512000799999999,0.36286883999999997,170.19339964000002,178.94225484
